+-------------------------------------------------------------------------------+---------------------------------------------------------------------+------------------------------------------------------------------------------+
|                                    Company                                    |                               Position                              |                                     Link                                     |
|                               КА Простые решения                              |                         Инженер-конструктор                         | https://nn.hh.ru/vacancy/34595403?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                       НИЖЕГОРОДСКИЙ ЗАВОД МЕТАЛЛОИЗДЕЛИЙ                      |                         Отделочник-универсал                        | https://nn.hh.ru/vacancy/34501065?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                            АШАН, Сеть Гипермаркетов                           | Продавец-кассир (Работник торгового зала-сканировщик)- АШАН ТЦ КРЫМ | https://nn.hh.ru/vacancy/34594340?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|  ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7 |                          Инженер-геодезист                          | https://nn.hh.ru/vacancy/34580719?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                            ООО Группа компаний НПН                            |                        Торговый представитель                       | https://nn.hh.ru/vacancy/34403935?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                           ООО Объединенные кондитеры                          |                 Супервайзер торговых представителей                 | https://nn.hh.ru/vacancy/34571993?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|  ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7 |            Инженер ПТО (монтаж технического трубопровода)           | https://nn.hh.ru/vacancy/34580747?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                         Сеть Дисконт центров «Полцены»                        |                           Тренинг-менеджер                          | https://nn.hh.ru/vacancy/34557033?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|  ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7 |                           Инженер-механик                           | https://nn.hh.ru/vacancy/34566755?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                  ООО Кузница                                  |           Специалист (менеджер) по продаже запасных частей          | https://nn.hh.ru/vacancy/34320581?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                         Сеть Дисконт центров «Полцены»                        |                        Менеджер по снабжению                        | https://nn.hh.ru/vacancy/34551396?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                     Завод Консиб, филиал в Нижнем Новгороде                   |             Региональный представитель (Нижний Новгород)            | https://nn.hh.ru/vacancy/34482006?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                              ООО СварТехКомплекс                              |                            Дефектоскопист                           | https://nn.hh.ru/vacancy/34533224?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                ООО ГлазурьПром                                |                         Менеджер по экспорту                        | https://nn.hh.ru/vacancy/34586699?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                       НИЖЕГОРОДСКИЙ ЗАВОД МЕТАЛЛОИЗДЕЛИЙ                      |                             Фрезеровщик                             | https://nn.hh.ru/vacancy/34283140?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                 Компания Мишель                               |                         Бухгалтер, г. Кстово                        | https://nn.hh.ru/vacancy/34432243?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                    Русвинил                                   |          Электромонтер по обслуживанию электрооборудования          | https://nn.hh.ru/vacancy/34588643?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                ООО ЭкоГринПласт                               |                     Менеджер по оптовым продажам                    | https://nn.hh.ru/vacancy/34354044?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                    Русвинил                                   |                      Специалист по охране труда                     | https://nn.hh.ru/vacancy/34596340?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                         Сеть Дисконт центров «Полцены»                        |                           Водитель-курьер                           | https://nn.hh.ru/vacancy/34594591?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                               КА Простые решения                              |                         Инженер-конструктор                         | https://nn.hh.ru/vacancy/34595403?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                       НИЖЕГОРОДСКИЙ ЗАВОД МЕТАЛЛОИЗДЕЛИЙ                      |                         Отделочник-универсал                        | https://nn.hh.ru/vacancy/34501065?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                            АШАН, Сеть Гипермаркетов                           | Продавец-кассир (Работник торгового зала-сканировщик)- АШАН ТЦ КРЫМ | https://nn.hh.ru/vacancy/34594340?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|  ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7 |                          Инженер-геодезист                          | https://nn.hh.ru/vacancy/34580719?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                            ООО Группа компаний НПН                            |                        Торговый представитель                       | https://nn.hh.ru/vacancy/34403935?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                           ООО Объединенные кондитеры                          |                 Супервайзер торговых представителей                 | https://nn.hh.ru/vacancy/34571993?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|  ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7 |            Инженер ПТО (монтаж технического трубопровода)           | https://nn.hh.ru/vacancy/34580747?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                         Сеть Дисконт центров «Полцены»                        |                           Тренинг-менеджер                          | https://nn.hh.ru/vacancy/34557033?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|  ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7 |                           Инженер-механик                           | https://nn.hh.ru/vacancy/34566755?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                  ООО Кузница                                  |           Специалист (менеджер) по продаже запасных частей          | https://nn.hh.ru/vacancy/34320581?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                         Сеть Дисконт центров «Полцены»                        |                        Менеджер по снабжению                        | https://nn.hh.ru/vacancy/34551396?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                     Завод Консиб, филиал в Нижнем Новгороде                   |             Региональный представитель (Нижний Новгород)            | https://nn.hh.ru/vacancy/34482006?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                              ООО СварТехКомплекс                              |                            Дефектоскопист                           | https://nn.hh.ru/vacancy/34533224?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                ООО ГлазурьПром                                |                         Менеджер по экспорту                        | https://nn.hh.ru/vacancy/34586699?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                       НИЖЕГОРОДСКИЙ ЗАВОД МЕТАЛЛОИЗДЕЛИЙ                      |                             Фрезеровщик                             | https://nn.hh.ru/vacancy/34283140?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                 Компания Мишель                               |                         Бухгалтер, г. Кстово                        | https://nn.hh.ru/vacancy/34432243?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                    Русвинил                                   |          Электромонтер по обслуживанию электрооборудования          | https://nn.hh.ru/vacancy/34588643?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                ООО ЭкоГринПласт                               |                     Менеджер по оптовым продажам                    | https://nn.hh.ru/vacancy/34354044?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                    Русвинил                                   |                      Специалист по охране труда                     | https://nn.hh.ru/vacancy/34596340?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                         Сеть Дисконт центров «Полцены»                        |                           Водитель-курьер                           | https://nn.hh.ru/vacancy/34594591?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                               КА Простые решения                              |                         Инженер-конструктор                         | https://nn.hh.ru/vacancy/34595403?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                       НИЖЕГОРОДСКИЙ ЗАВОД МЕТАЛЛОИЗДЕЛИЙ                      |                         Отделочник-универсал                        | https://nn.hh.ru/vacancy/34501065?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                            АШАН, Сеть Гипермаркетов                           | Продавец-кассир (Работник торгового зала-сканировщик)- АШАН ТЦ КРЫМ | https://nn.hh.ru/vacancy/34594340?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|  ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7 |                          Инженер-геодезист                          | https://nn.hh.ru/vacancy/34580719?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                            ООО Группа компаний НПН                            |                        Торговый представитель                       | https://nn.hh.ru/vacancy/34403935?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                           ООО Объединенные кондитеры                          |                 Супервайзер торговых представителей                 | https://nn.hh.ru/vacancy/34571993?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|  ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7 |            Инженер ПТО (монтаж технического трубопровода)           | https://nn.hh.ru/vacancy/34580747?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                         Сеть Дисконт центров «Полцены»                        |                           Тренинг-менеджер                          | https://nn.hh.ru/vacancy/34557033?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|  ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7 |                           Инженер-механик                           | https://nn.hh.ru/vacancy/34566755?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                  ООО Кузница                                  |           Специалист (менеджер) по продаже запасных частей          | https://nn.hh.ru/vacancy/34320581?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                         Сеть Дисконт центров «Полцены»                        |                        Менеджер по снабжению                        | https://nn.hh.ru/vacancy/34551396?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                     Завод Консиб, филиал в Нижнем Новгороде                   |             Региональный представитель (Нижний Новгород)            | https://nn.hh.ru/vacancy/34482006?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                              ООО СварТехКомплекс                              |                            Дефектоскопист                           | https://nn.hh.ru/vacancy/34533224?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                ООО ГлазурьПром                                |                         Менеджер по экспорту                        | https://nn.hh.ru/vacancy/34586699?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                       НИЖЕГОРОДСКИЙ ЗАВОД МЕТАЛЛОИЗДЕЛИЙ                      |                             Фрезеровщик                             | https://nn.hh.ru/vacancy/34283140?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                 Компания Мишель                               |                         Бухгалтер, г. Кстово                        | https://nn.hh.ru/vacancy/34432243?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                    Русвинил                                   |          Электромонтер по обслуживанию электрооборудования          | https://nn.hh.ru/vacancy/34588643?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                ООО ЭкоГринПласт                               |                     Менеджер по оптовым продажам                    | https://nn.hh.ru/vacancy/34354044?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                    Русвинил                                   |                      Специалист по охране труда                     | https://nn.hh.ru/vacancy/34596340?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                         Сеть Дисконт центров «Полцены»                        |                           Водитель-курьер                           | https://nn.hh.ru/vacancy/34594591?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                               КА Простые решения                              |                         Инженер-конструктор                         | https://nn.hh.ru/vacancy/34595403?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                       НИЖЕГОРОДСКИЙ ЗАВОД МЕТАЛЛОИЗДЕЛИЙ                      |                         Отделочник-универсал                        | https://nn.hh.ru/vacancy/34501065?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                            АШАН, Сеть Гипермаркетов                           | Продавец-кассир (Работник торгового зала-сканировщик)- АШАН ТЦ КРЫМ | https://nn.hh.ru/vacancy/34594340?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|  ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7 |                          Инженер-геодезист                          | https://nn.hh.ru/vacancy/34580719?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                            ООО Группа компаний НПН                            |                        Торговый представитель                       | https://nn.hh.ru/vacancy/34403935?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                           ООО Объединенные кондитеры                          |                 Супервайзер торговых представителей                 | https://nn.hh.ru/vacancy/34571993?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|  ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7 |            Инженер ПТО (монтаж технического трубопровода)           | https://nn.hh.ru/vacancy/34580747?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                         Сеть Дисконт центров «Полцены»                        |                           Тренинг-менеджер                          | https://nn.hh.ru/vacancy/34557033?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|  ФИЛИАЛ ООО КИТАЙСКАЯ НАЦИОНАЛЬНАЯ ХИМИКО-ИНЖЕНЕРНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ №7 |                           Инженер-механик                           | https://nn.hh.ru/vacancy/34566755?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                                  ООО Кузница                                  |           Специалист (менеджер) по продаже запасных частей          | https://nn.hh.ru/vacancy/34320581?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
|                         Сеть Дисконт центров «Полцены»                        |                        Менеджер по снабжению                        | https://nn.hh.ru/vacancy/34551396?query=%D0%9A%D1%81%D1%82%D0%BE%D0%B2%D0%BE |
+-------------------------------------------------------------------------------+---------------------------------------------------------------------+------------------------------------------------------------------------------+
